num,session,code,sequence,date,scanner,dictionary,map,array,sphere,sphere_name_sh,NIST_name,long_name,conc,area,ref,ref_sd,temp_coef,tc_mean,tc_rd,mean,stdv,min,max,temp
27,2,PH034,MRF,23/01/2020,PRISMA,MRF 3000,T1,T2a,S3,S3_T2a,MnCl2-3,S3000T1MnCl2-3,0.0282,80,1901.28,47.53,50.23,1813.67,-4.607975005,1887,55.402,1760,2000,21.46
28,2,PH034,MRF,23/01/2020,PRISMA,MRF 3000,T1,T2a,S4,S4_T2a,MnCl2-4,S3000T1MnCl2-4,0.0434,80,1549.98,38.75,41.93,1462.28,-5.658309306,1523.5,46.419,1400,1640,21.46
29,2,PH034,MRF,23/01/2020,PRISMA,MRF 3000,T1,T2a,S5,S5_T2a,MnCl2-5,S3000T1MnCl2-5,0.0626,80,1510.76,37.77,36.34,1218.44,-19.34923744,1271.5,38.024,1200,1360,21.46
30,2,PH034,MRF,23/01/2020,PRISMA,MRF 3000,T1,T2a,S6,S6_T2a,MnCl2-6,S3000T1MnCl2-6,0.0934,80,1026.43,25.66,28.61,939.47,-8.471596769,981.25,29.91,920,1080,21.46
31,2,PH034,MRF,23/01/2020,PRISMA,MRF 3000,T1,T2a,S7,S7_T2a,MnCl2-7,S3000T1MnCl2-7,0.1353,80,805.1,20.13,20.26,688.92,-14.43046398,718.5,23.336,680,760,21.46
32,2,PH034,MRF,23/01/2020,PRISMA,MRF 3000,T1,T2a,S8,S8_T2a,MnCl2-8,S3000T1MnCl2-8,0.193,80,599.96,15,15.67,521.87,-13.01639156,544.75,18.348,500,600,21.46
33,3,PH035,MRF,24/01/2020,PRISMA,MRF 1500,T1,T2a,S1,S1_T2a,MnCl2-1,S1500T1MnCl2-1,0.0108,80,3025.17,75.63,70.03,2474.55,-18.20131359,2577.5,50.253,2450,2650,21.47
34,3,PH035,MRF,24/01/2020,PRISMA,MRF 1500,T1,T2a,S2,S2_T2a,MnCl2-2,S1500T1MnCl2-2,0.0181,80,2185.54,54.64,62.15,2156.14,-1.345138784,2247.5,52.711,2150,2350,21.47
35,3,PH035,MRF,24/01/2020,PRISMA,MRF 1500,T1,T2a,S3,S3_T2a,MnCl2-3,S1500T1MnCl2-3,0.0282,80,1901.28,47.53,53.06,1857.51,-2.302194567,1935.5,59.956,1800,2050,21.47
36,3,PH035,MRF,24/01/2020,PRISMA,MRF 1500,T1,T2a,S4,S4_T2a,MnCl2-4,S1500T1MnCl2-4,0.0434,80,1549.98,38.75,43.64,1504.34,-2.944277876,1568.5,46.636,1480,1720,21.47
37,3,PH035,MRF,24/01/2020,PRISMA,MRF 1500,T1,T2a,S5,S5_T2a,MnCl2-5,S1500T1MnCl2-5,0.0626,80,1510.76,37.77,38.33,1251.66,-17.15058361,1308,46.508,1200,1400,21.47
