num,session,code,sequence,date,scanner,dictionary,map,array,sphere,sphere_name_sh,NIST_name,long_name,conc,area,ref,ref_sd,temp_coef,tc_mean,tc_rd,mean,stdv,min,max,temp
455,29,PH075,MRF,27/02/2020,PRISMA,MRF 1500,T1,T2a,S7,S7_T2a,MnCl2-7,S1500T1MnCl2-7,0.1353,80,805.1,20.13,21.33,689.64,-14.34146902,725.25,25.802,660,800,21.67
456,29,PH075,MRF,27/02/2020,PRISMA,MRF 1500,T1,T2a,S8,S8_T2a,MnCl2-8,S1500T1MnCl2-8,0.193,80,599.96,15,16.08,526.14,-12.30342828,553,20.892,500,600,21.67
457,29,PH075,MRF,27/02/2020,PRISMA,MRF 3000,T1,T2a,S1,S1_T2a,MnCl2-1,S3000T1MnCl2-1,0.0108,80,3025.17,75.63,66.54,2408.87,-20.37226114,2520,62.44,2450,2650,21.67
458,29,PH075,MRF,27/02/2020,PRISMA,MRF 3000,T1,T2a,S2,S2_T2a,MnCl2-2,S3000T1MnCl2-2,0.0181,80,2185.54,54.64,59.2,2104.88,-3.690432402,2203.75,54.988,2150,2350,21.67
459,29,PH075,MRF,27/02/2020,PRISMA,MRF 3000,T1,T2a,S3,S3_T2a,MnCl2-3,S3000T1MnCl2-3,0.0282,80,1901.28,47.53,50.23,1808.62,-4.873456087,1892.5,46.593,1760,2000,21.67
460,29,PH075,MRF,27/02/2020,PRISMA,MRF 3000,T1,T2a,S4,S4_T2a,MnCl2-4,S3000T1MnCl2-4,0.0434,80,1549.98,38.75,41.93,1458.97,-5.871602342,1529,44.083,1400,1600,21.67
461,29,PH075,MRF,27/02/2020,PRISMA,MRF 3000,T1,T2a,S5,S5_T2a,MnCl2-5,S3000T1MnCl2-5,0.0626,80,1510.76,37.77,36.34,1221.81,-19.12630298,1282.5,39.41,1200,1400,21.67
462,29,PH075,MRF,27/02/2020,PRISMA,MRF 3000,T1,T2a,S6,S6_T2a,MnCl2-6,S3000T1MnCl2-6,0.0934,80,1026.43,25.66,28.61,944.97,-7.936609914,992.75,34.895,900,1080,21.67
463,29,PH075,MRF,27/02/2020,PRISMA,MRF 3000,T1,T2a,S7,S7_T2a,MnCl2-7,S3000T1MnCl2-7,0.1353,80,805.1,20.13,20.26,693.42,-13.87209973,727.25,24.699,680,780,21.67
464,29,PH075,MRF,27/02/2020,PRISMA,MRF 3000,T1,T2a,S8,S8_T2a,MnCl2-8,S3000T1MnCl2-8,0.193,80,599.96,15,15.67,520.58,-13.23164107,546.75,21.57,500,580,21.67
465,30,PH076,MRF,27/02/2020,PRISMA,MRF 1500,T1,T2a,S1,S1_T2a,MnCl2-1,S1500T1MnCl2-1,0.0108,80,3025.17,75.63,70.03,2482,-17.955149,2591.25,60.991,2450,2750,21.56
466,30,PH076,MRF,27/02/2020,PRISMA,MRF 1500,T1,T2a,S2,S2_T2a,MnCl2-2,S1500T1MnCl2-2,0.0181,80,2185.54,54.64,62.15,2168.05,-0.80034804,2265,53.011,2150,2350,21.56
467,30,PH076,MRF,27/02/2020,PRISMA,MRF 1500,T1,T2a,S3,S3_T2a,MnCl2-3,S1500T1MnCl2-3,0.0282,80,1901.28,47.53,53.06,1862.86,-2.020803571,1945.625,53.435,1800,2050,21.56
468,30,PH076,MRF,27/02/2020,PRISMA,MRF 1500,T1,T2a,S4,S4_T2a,MnCl2-4,S1500T1MnCl2-4,0.0434,80,1549.98,38.75,43.64,1519.92,-1.939613371,1588,47.371,1480,1680,21.56
469,30,PH076,MRF,27/02/2020,PRISMA,MRF 1500,T1,T2a,S5,S5_T2a,MnCl2-5,S1500T1MnCl2-5,0.0626,80,1510.76,37.77,38.33,1274.71,-15.62483778,1334.5,37.784,1240,1440,21.56
470,30,PH076,MRF,27/02/2020,PRISMA,MRF 1500,T1,T2a,S6,S6_T2a,MnCl2-6,S1500T1MnCl2-6,0.0934,80,1026.43,25.66,30.39,971.35,-5.366485356,1018.75,33.276,960,1080,21.56
471,30,PH076,MRF,27/02/2020,PRISMA,MRF 1500,T1,T2a,S7,S7_T2a,MnCl2-7,S1500T1MnCl2-7,0.1353,80,805.1,20.13,21.33,699.23,-13.14959503,732.5,24.93,680,820,21.56
472,30,PH076,MRF,27/02/2020,PRISMA,MRF 1500,T1,T2a,S8,S8_T2a,MnCl2-8,S1500T1MnCl2-8,0.193,80,599.96,15,16.08,535.66,-10.71683336,560.75,16.671,540,600,21.56
473,30,PH076,MRF,27/02/2020,PRISMA,MRF 3000,T1,T2a,S1,S1_T2a,MnCl2-1,S3000T1MnCl2-1,0.0108,80,3025.17,75.63,66.54,2428.69,-19.71710305,2532.5,67.082,2450,2750,21.56
474,30,PH076,MRF,27/02/2020,PRISMA,MRF 3000,T1,T2a,S2,S2_T2a,MnCl2-2,S3000T1MnCl2-2,0.0181,80,2185.54,54.64,59.2,2132.65,-2.420168596,2225,53.957,2150,2350,21.56
475,30,PH076,MRF,27/02/2020,PRISMA,MRF 3000,T1,T2a,S3,S3_T2a,MnCl2-3,S3000T1MnCl2-3,0.0282,80,1901.28,47.53,50.23,1836.77,-3.392879779,1915.125,55.187,1760,2050,21.56
476,30,PH076,MRF,27/02/2020,PRISMA,MRF 3000,T1,T2a,S4,S4_T2a,MnCl2-4,S3000T1MnCl2-4,0.0434,80,1549.98,38.75,41.93,1486.08,-4.12237549,1551.5,47.068,1440,1640,21.56
477,30,PH076,MRF,27/02/2020,PRISMA,MRF 3000,T1,T2a,S5,S5_T2a,MnCl2-5,S3000T1MnCl2-5,0.0626,80,1510.76,37.77,36.34,1240.31,-17.90190521,1297,43.06,1200,1400,21.56
478,30,PH076,MRF,27/02/2020,PRISMA,MRF 3000,T1,T2a,S6,S6_T2a,MnCl2-6,S3000T1MnCl2-6,0.0934,80,1026.43,25.66,28.61,962.86,-6.192951572,1007.5,32.511,940,1080,21.56
479,30,PH076,MRF,27/02/2020,PRISMA,MRF 3000,T1,T2a,S7,S7_T2a,MnCl2-7,S3000T1MnCl2-7,0.1353,80,805.1,20.13,20.26,692.39,-13.99896534,724,26.889,660,780,21.56
480,30,PH076,MRF,27/02/2020,PRISMA,MRF 3000,T1,T2a,S8,S8_T2a,MnCl2-8,S3000T1MnCl2-8,0.193,80,599.96,15,15.67,530.05,-11.65252373,554.5,19.61,520,600,21.56
,1,PH033,VFA,22/01/2020,PRISMA,VFA,T1,T2a,S1,S1_T2a,MnCl2-1,VFAT1MnCl2-1,0.0108,80,3025.17,75.63,75.07,2525.76,-16.50845996,2659.387,52.059,2532,2779,21.78
,1,PH033,VFA,22/01/2020,PRISMA,VFA,T1,T2a,S2,S2_T2a,MnCl2-2,VFAT1MnCl2-2,0.0181,80,2185.54,54.64,62.3,2464.24,12.75180574,2575.137,58.821,2471,2721,21.78
,1,PH033,VFA,22/01/2020,PRISMA,VFA,T1,T2a,S3,S3_T2a,MnCl2-3,VFAT1MnCl2-3,0.0282,80,1901.28,47.53,54.31,2117.08,11.35044324,2213.75,62.097,2098,2319,21.78
,1,PH033,VFA,22/01/2020,PRISMA,VFA,T1,T2a,S4,S4_T2a,MnCl2-4,VFAT1MnCl2-4,0.0434,80,1549.98,38.75,37.95,1534.52,-0.997561734,1602.062,30.017,1532,1667,21.78
,1,PH033,VFA,22/01/2020,PRISMA,VFA,T1,T2a,S5,S5_T2a,MnCl2-5,VFAT1MnCl2-5,0.0626,80,1510.76,37.77,34.81,1506.66,-0.271351522,1568.625,47.642,1446,1699,21.78
,1,PH033,VFA,22/01/2020,PRISMA,VFA,T1,T2a,S6,S6_T2a,MnCl2-6,VFAT1MnCl2-6,0.0934,80,1026.43,25.66,30.13,1075.22,4.753192479,1128.85,17.22,1095,1171,21.78
,1,PH033,VFA,22/01/2020,PRISMA,VFA,T1,T2a,S7,S7_T2a,MnCl2-7,VFAT1MnCl2-7,0.1353,80,805.1,20.13,24.06,829.4,3.018629267,872.237,30.163,795,934,21.78
,1,PH033,VFA,22/01/2020,PRISMA,VFA,T1,T2a,S8,S8_T2a,MnCl2-8,VFAT1MnCl2-8,0.193,80,599.96,15,17.8,662.8,10.47392355,694.475,36.02,619,771,21.78
,2,PH034,VFA,23/01/2020,PRISMA,VFA,T1,T2a,S1,S1_T2a,MnCl2-1,VFAT1MnCl2-1,0.0108,80,3025.17,75.63,75.07,2502.63,-17.27292451,2612.238,39.957,2534,2730,21.46
,2,PH034,VFA,23/01/2020,PRISMA,VFA,T1,T2a,S2,S2_T2a,MnCl2-2,VFAT1MnCl2-2,0.0181,80,2185.54,54.64,62.3,2477.77,13.3712541,2568.738,58.892,2440,2686,21.46
,2,PH034,VFA,23/01/2020,PRISMA,VFA,T1,T2a,S3,S3_T2a,MnCl2-3,VFAT1MnCl2-3,0.0282,80,1901.28,47.53,54.31,2061.49,8.426266363,2140.775,65.367,2004,2309,21.46
,2,PH034,VFA,23/01/2020,PRISMA,VFA,T1,T2a,S4,S4_T2a,MnCl2-4,VFAT1MnCl2-4,0.0434,80,1549.98,38.75,37.95,1534.14,-1.022223801,1589.537,29.447,1540,1651,21.46
,2,PH034,VFA,23/01/2020,PRISMA,VFA,T1,T2a,S5,S5_T2a,MnCl2-5,VFAT1MnCl2-5,0.0626,80,1510.76,37.77,34.81,1488.3,-1.486655075,1539.125,42.876,1423,1625,21.46
,2,PH034,VFA,23/01/2020,PRISMA,VFA,T1,T2a,S6,S6_T2a,MnCl2-6,VFAT1MnCl2-6,0.0934,80,1026.43,25.66,30.13,1071.01,4.343195993,1115,19.404,1067,1159,21.46
,2,PH034,VFA,23/01/2020,PRISMA,VFA,T1,T2a,S7,S7_T2a,MnCl2-7,VFAT1MnCl2-7,0.1353,80,805.1,20.13,24.06,829.94,3.085515022,865.075,32.016,788,926,21.46
,2,PH034,VFA,23/01/2020,PRISMA,VFA,T1,T2a,S8,S8_T2a,MnCl2-8,VFAT1MnCl2-8,0.193,80,599.96,15,17.8,659.69,9.956305472,685.675,30.974,608,742,21.46
,3,PH035,VFA,24/01/2020,PRISMA,VFA,T1,T2a,S1,S1_T2a,MnCl2-1,VFAT1MnCl2-1,0.0108,80,3025.17,75.63,75.07,2521.42,-16.65192495,2631.775,62.903,2472,2748,21.47
,3,PH035,VFA,24/01/2020,PRISMA,VFA,T1,T2a,S2,S2_T2a,MnCl2-2,VFAT1MnCl2-2,0.0181,80,2185.54,54.64,62.3,2409.35,10.24053856,2500.938,84.306,2238,2672,21.47
,3,PH035,VFA,24/01/2020,PRISMA,VFA,T1,T2a,S3,S3_T2a,MnCl2-3,VFAT1MnCl2-3,0.0282,80,1901.28,47.53,54.31,2071.96,8.97689178,2151.787,66.471,2028,2265,21.47
,3,PH035,VFA,24/01/2020,PRISMA,VFA,T1,T2a,S4,S4_T2a,MnCl2-4,VFAT1MnCl2-4,0.0434,80,1549.98,38.75,37.95,1589.49,2.549340948,1645.275,29.399,1585,1722,21.47
,3,PH035,VFA,24/01/2020,PRISMA,VFA,T1,T2a,S5,S5_T2a,MnCl2-5,VFAT1MnCl2-5,0.0626,80,1510.76,37.77,34.81,1459.42,-3.398614288,1510.588,37.377,1433,1581,21.47
,3,PH035,VFA,24/01/2020,PRISMA,VFA,T1,T2a,S6,S6_T2a,MnCl2-6,VFAT1MnCl2-6,0.0934,80,1026.43,25.66,30.13,1081.25,5.340409413,1125.537,20.503,1082,1177,21.47
,3,PH035,VFA,24/01/2020,PRISMA,VFA,T1,T2a,S7,S7_T2a,MnCl2-7,VFAT1MnCl2-7,0.1353,80,805.1,20.13,24.06,832.35,3.384777159,867.725,39.272,773,944,21.47
,3,PH035,VFA,24/01/2020,PRISMA,VFA,T1,T2a,S8,S8_T2a,MnCl2-8,VFAT1MnCl2-8,0.193,80,599.96,15,17.8,656.19,9.372441035,682.35,36.399,586,737,21.47
,4,PH036,VFA,27/01/2020,PRISMA,VFA,T1,T2a,S1,S1_T2a,MnCl2-1,VFAT1MnCl2-1,0.0108,80,3025.17,75.63,75.07,2528.65,-16.41302522,2636.75,42.829,2545,2734,21.44
,4,PH036,VFA,27/01/2020,PRISMA,VFA,T1,T2a,S2,S2_T2a,MnCl2-2,VFAT1MnCl2-2,0.0181,80,2185.54,54.64,62.3,2425.68,10.98777362,2515.4,65.903,2383,2697,21.44
,4,PH036,VFA,27/01/2020,PRISMA,VFA,T1,T2a,S3,S3_T2a,MnCl2-3,VFAT1MnCl2-3,0.0282,80,1901.28,47.53,54.31,2059.24,8.307879703,2137.438,63.227,2007,2251,21.44
,4,PH036,VFA,27/01/2020,PRISMA,VFA,T1,T2a,S4,S4_T2a,MnCl2-4,VFAT1MnCl2-4,0.0434,80,1549.98,38.75,37.95,1557.41,0.479209859,1612.05,30.487,1548,1671,21.44
,4,PH036,VFA,27/01/2020,PRISMA,VFA,T1,T2a,S5,S5_T2a,MnCl2-5,VFAT1MnCl2-5,0.0626,80,1510.76,37.77,34.81,1477.76,-2.184368146,1527.888,48.099,1399,1627,21.44
,4,PH036,VFA,27/01/2020,PRISMA,VFA,T1,T2a,S6,S6_T2a,MnCl2-6,VFAT1MnCl2-6,0.0934,80,1026.43,25.66,30.13,1060.14,3.283952261,1103.525,18.716,1058,1148,21.44
,4,PH036,VFA,27/01/2020,PRISMA,VFA,T1,T2a,S7,S7_T2a,MnCl2-7,VFAT1MnCl2-7,0.1353,80,805.1,20.13,24.06,824.24,2.3768181,858.888,32.366,788,913,21.44
,4,PH036,VFA,27/01/2020,PRISMA,VFA,T1,T2a,S8,S8_T2a,MnCl2-8,VFAT1MnCl2-8,0.193,80,599.96,15,17.8,657.69,9.62176753,683.312,30.711,613,731,21.44
,5,PH039,VFA,30/01/2020,PRISMA,VFA,T1,T2a,S1,S1_T2a,MnCl2-1,VFAT1MnCl2-1,0.0108,80,3025.17,75.63,75.07,2482.2,-17.94835157,2612.825,51.082,2474,2726,21.74
,5,PH039,VFA,30/01/2020,PRISMA,VFA,T1,T2a,S2,S2_T2a,MnCl2-2,VFAT1MnCl2-2,0.0181,80,2185.54,54.64,62.3,2508.37,14.77099374,2616.775,54.469,2466,2707,21.74
,5,PH039,VFA,30/01/2020,PRISMA,VFA,T1,T2a,S3,S3_T2a,MnCl2-3,VFAT1MnCl2-3,0.0282,80,1901.28,47.53,54.31,2049.71,7.806634656,2144.2,40.268,2061,2228,21.74
,5,PH039,VFA,30/01/2020,PRISMA,VFA,T1,T2a,S4,S4_T2a,MnCl2-4,VFAT1MnCl2-4,0.0434,80,1549.98,38.75,37.95,1572.09,1.426201338,1638.112,27.606,1579,1705,21.74
,5,PH039,VFA,30/01/2020,PRISMA,VFA,T1,T2a,S5,S5_T2a,MnCl2-5,VFAT1MnCl2-5,0.0626,80,1510.76,37.77,34.81,1451.68,-3.910747587,1512.25,44.303,1383,1603,21.74
,5,PH039,VFA,30/01/2020,PRISMA,VFA,T1,T2a,S6,S6_T2a,MnCl2-6,VFAT1MnCl2-6,0.0934,80,1026.43,25.66,30.13,1109.8,8.122171282,1162.225,18.959,1126,1209,21.74
,5,PH039,VFA,30/01/2020,PRISMA,VFA,T1,T2a,S7,S7_T2a,MnCl2-7,VFAT1MnCl2-7,0.1353,80,805.1,20.13,24.06,808.13,0.376170212,850,31.515,748,908,21.74
,5,PH039,VFA,30/01/2020,PRISMA,VFA,T1,T2a,S8,S8_T2a,MnCl2-8,VFAT1MnCl2-8,0.193,80,599.96,15,17.8,662.76,10.46755852,693.725,32.079,615,742,21.74
,6,PH046,VFA,31/01/2020,PRISMA,VFA,T1,T2a,S1,S1_T2a,MnCl2-1,VFAT1MnCl2-1,0.0108,80,3025.17,75.63,75.07,2541.46,-15.98965115,2641.3,48.505,2502,2737,21.33
,6,PH046,VFA,31/01/2020,PRISMA,VFA,T1,T2a,S2,S2_T2a,MnCl2-2,VFAT1MnCl2-2,0.0181,80,2185.54,54.64,62.3,2416.06,10.54753661,2498.925,51.385,2374,2662,21.33
,6,PH046,VFA,31/01/2020,PRISMA,VFA,T1,T2a,S3,S3_T2a,MnCl2-3,VFAT1MnCl2-3,0.0282,80,1901.28,47.53,54.31,2072.3,8.994825323,2144.525,54.506,2028,2242,21.33
,6,PH046,VFA,31/01/2020,PRISMA,VFA,T1,T2a,S4,S4_T2a,MnCl2-4,VFAT1MnCl2-4,0.0434,80,1549.98,38.75,37.95,1582.62,2.105815871,1633.088,31.486,1575,1698,21.33
,6,PH046,VFA,31/01/2020,PRISMA,VFA,T1,T2a,S5,S5_T2a,MnCl2-5,VFAT1MnCl2-5,0.0626,80,1510.76,37.77,34.81,1489.53,-1.405537292,1535.825,46.045,1420,1623,21.33
,6,PH046,VFA,31/01/2020,PRISMA,VFA,T1,T2a,S6,S6_T2a,MnCl2-6,VFAT1MnCl2-6,0.0934,80,1026.43,25.66,30.13,1094.59,6.640374532,1134.662,21.647,1087,1181,21.33
,6,PH046,VFA,31/01/2020,PRISMA,VFA,T1,T2a,S7,S7_T2a,MnCl2-7,VFAT1MnCl2-7,0.1353,80,805.1,20.13,24.06,833.42,3.517551663,865.425,37.181,782,928,21.33
,6,PH046,VFA,31/01/2020,PRISMA,VFA,T1,T2a,S8,S8_T2a,MnCl2-8,VFAT1MnCl2-8,0.193,80,599.96,15,17.8,648.12,8.027241875,671.788,31.643,594,738,21.33
,7,PH052,VFA,04/02/2020,PRISMA,VFA,T1,T2a,S1,S1_T2a,MnCl2-1,VFAT1MnCl2-1,0.0108,80,3025.17,75.63,75.07,2559.89,-15.38035399,2691.262,52.562,2540,2801,21.75
,7,PH052,VFA,04/02/2020,PRISMA,VFA,T1,T2a,S2,S2_T2a,MnCl2-2,VFAT1MnCl2-2,0.0181,80,2185.54,54.64,62.3,2522.44,15.41508901,2631.475,76.462,2497,2802,21.75
,7,PH052,VFA,04/02/2020,PRISMA,VFA,T1,T2a,S3,S3_T2a,MnCl2-3,VFAT1MnCl2-3,0.0282,80,1901.28,47.53,54.31,2095.59,10.21984738,2190.625,63.646,2082,2318,21.75
,7,PH052,VFA,04/02/2020,PRISMA,VFA,T1,T2a,S4,S4_T2a,MnCl2-4,VFAT1MnCl2-4,0.0434,80,1549.98,38.75,37.95,1552.59,0.168671517,1619,29.541,1561,1689,21.75
,7,PH052,VFA,04/02/2020,PRISMA,VFA,T1,T2a,S5,S5_T2a,MnCl2-5,VFAT1MnCl2-5,0.0626,80,1510.76,37.77,34.81,1529.88,1.26557989,1590.8,47.828,1479,1689,21.75
,7,PH052,VFA,04/02/2020,PRISMA,VFA,T1,T2a,S6,S6_T2a,MnCl2-6,VFAT1MnCl2-6,0.0934,80,1026.43,25.66,30.13,1087.5,5.949465663,1140.225,13.547,1098,1176,21.75
,7,PH052,VFA,04/02/2020,PRISMA,VFA,T1,T2a,S7,S7_T2a,MnCl2-7,VFAT1MnCl2-7,0.1353,80,805.1,20.13,24.06,842.97,4.704372853,885.087,33.737,810,954,21.75
,7,PH052,VFA,04/02/2020,PRISMA,VFA,T1,T2a,S8,S8_T2a,MnCl2-8,VFAT1MnCl2-8,0.193,80,599.96,15,17.8,657.05,9.515002832,688.188,30.896,621,765,21.75
,8,PH053,VFA,06/02/2020,PRISMA,VFA,T1,T2a,S1,S1_T2a,MnCl2-1,VFAT1MnCl2-1,0.0108,80,3025.17,75.63,75.07,2536.58,-16.15084591,2637.925,60.5,2479,2755,21.35
,8,PH053,VFA,06/02/2020,PRISMA,VFA,T1,T2a,S2,S2_T2a,MnCl2-2,VFAT1MnCl2-2,0.0181,80,2185.54,54.64,62.3,2394.58,9.56457218,2478.688,60.629,2372,2630,21.35
,8,PH053,VFA,06/02/2020,PRISMA,VFA,T1,T2a,S3,S3_T2a,MnCl2-3,VFAT1MnCl2-3,0.0282,80,1901.28,47.53,54.31,2070.49,8.899566438,2143.8,49.66,1986,2247,21.35
,8,PH053,VFA,06/02/2020,PRISMA,VFA,T1,T2a,S4,S4_T2a,MnCl2-4,VFAT1MnCl2-4,0.0434,80,1549.98,38.75,37.95,1618.95,4.449593118,1670.175,25.379,1620,1743,21.35
,8,PH053,VFA,06/02/2020,PRISMA,VFA,T1,T2a,S5,S5_T2a,MnCl2-5,VFAT1MnCl2-5,0.0626,80,1510.76,37.77,34.81,1466.27,-2.945042574,1513.263,39.531,1412,1585,21.35
,8,PH053,VFA,06/02/2020,PRISMA,VFA,T1,T2a,S6,S6_T2a,MnCl2-6,VFAT1MnCl2-6,0.0934,80,1026.43,25.66,30.13,1066.21,3.875782249,1106.888,14.604,1066,1133,21.35
,8,PH053,VFA,06/02/2020,PRISMA,VFA,T1,T2a,S7,S7_T2a,MnCl2-7,VFAT1MnCl2-7,0.1353,80,805.1,20.13,24.06,822.04,2.103903535,854.525,27.019,780,902,21.35
,8,PH053,VFA,06/02/2020,PRISMA,VFA,T1,T2a,S8,S8_T2a,MnCl2-8,VFAT1MnCl2-8,0.193,80,599.96,15,17.8,661.78,10.30340926,685.8,30.931,602,753,21.35
,9,PH054,VFA,07/02/2020,PRISMA,VFA,T1,T2a,S1,S1_T2a,MnCl2-1,VFAT1MnCl2-1,0.0108,80,3025.17,75.63,75.07,2511.6,-16.97641073,2626.463,54.247,2521,2750,21.53
,9,PH054,VFA,07/02/2020,PRISMA,VFA,T1,T2a,S2,S2_T2a,MnCl2-2,VFAT1MnCl2-2,0.0181,80,2185.54,54.64,62.3,2528.76,15.70425727,2624.088,79.176,2425,2756,21.53
,9,PH054,VFA,07/02/2020,PRISMA,VFA,T1,T2a,S3,S3_T2a,MnCl2-3,VFAT1MnCl2-3,0.0282,80,1901.28,47.53,54.31,2062.17,8.462321892,2145.262,53.364,2043,2246,21.53
,9,PH054,VFA,07/02/2020,PRISMA,VFA,T1,T2a,S4,S4_T2a,MnCl2-4,VFAT1MnCl2-4,0.0434,80,1549.98,38.75,37.95,1625.88,4.896870316,1683.938,27.512,1623,1753,21.53
,9,PH054,VFA,07/02/2020,PRISMA,VFA,T1,T2a,S5,S5_T2a,MnCl2-5,VFAT1MnCl2-5,0.0626,80,1510.76,37.77,34.81,1442.09,-4.545499962,1495.35,40.974,1406,1578,21.53
,9,PH054,VFA,07/02/2020,PRISMA,VFA,T1,T2a,S6,S6_T2a,MnCl2-6,VFAT1MnCl2-6,0.0934,80,1026.43,25.66,30.13,1072.85,4.522544221,1118.95,23.796,1052,1196,21.53
,9,PH054,VFA,07/02/2020,PRISMA,VFA,T1,T2a,S7,S7_T2a,MnCl2-7,VFAT1MnCl2-7,0.1353,80,805.1,20.13,24.06,817.98,1.600049395,854.8,47.129,729,940,21.53
,9,PH054,VFA,07/02/2020,PRISMA,VFA,T1,T2a,S8,S8_T2a,MnCl2-8,VFAT1MnCl2-8,0.193,80,599.96,15,17.8,665.2,10.87375471,692.425,44.224,597,762,21.53
,10,PH055,VFA,10/02/2020,PRISMA,VFA,T1,T2a,S1,S1_T2a,MnCl2-1,VFAT1MnCl2-1,0.0108,80,3025.17,75.63,75.07,2515.58,-16.8449048,2613.175,52.218,2501,2748,21.3
,10,PH055,VFA,10/02/2020,PRISMA,VFA,T1,T2a,S2,S2_T2a,MnCl2-2,VFAT1MnCl2-2,0.0181,80,2185.54,54.64,62.3,2517.14,15.17253185,2598.137,62.557,2464,2733,21.3
,10,PH055,VFA,10/02/2020,PRISMA,VFA,T1,T2a,S3,S3_T2a,MnCl2-3,VFAT1MnCl2-3,0.0282,80,1901.28,47.53,54.31,2093.29,10.09888192,2163.887,47.68,2074,2270,21.3
,10,PH055,VFA,10/02/2020,PRISMA,VFA,T1,T2a,S4,S4_T2a,MnCl2-4,VFAT1MnCl2-4,0.0434,80,1549.98,38.75,37.95,1560.82,0.699370765,1610.15,27.916,1554,1674,21.3
,10,PH055,VFA,10/02/2020,PRISMA,VFA,T1,T2a,S5,S5_T2a,MnCl2-5,VFAT1MnCl2-5,0.0626,80,1510.76,37.77,34.81,1478.63,-2.126542283,1523.888,53.586,1393,1642,21.3
,10,PH055,VFA,10/02/2020,PRISMA,VFA,T1,T2a,S6,S6_T2a,MnCl2-6,VFAT1MnCl2-6,0.0934,80,1026.43,25.66,30.13,1065.79,3.835010976,1104.963,19.665,1065,1161,21.3
,10,PH055,VFA,10/02/2020,PRISMA,VFA,T1,T2a,S7,S7_T2a,MnCl2-7,VFAT1MnCl2-7,0.1353,80,805.1,20.13,24.06,826.45,2.652307795,857.737,44.462,746,929,21.3
,10,PH055,VFA,10/02/2020,PRISMA,VFA,T1,T2a,S8,S8_T2a,MnCl2-8,VFAT1MnCl2-8,0.193,80,599.96,15,17.8,665.68,10.95374685,688.812,37.65,597,747,21.3
,11,PH057,VFA,11/02/2020,PRISMA,VFA,T1,T2a,S1,S1_T2a,MnCl2-1,VFAT1MnCl2-1,0.0108,80,3025.17,75.63,75.07,2608.16,-13.78476307,2745.537,63.417,2616,2891,21.83
,11,PH057,VFA,11/02/2020,PRISMA,VFA,T1,T2a,S2,S2_T2a,MnCl2-2,VFAT1MnCl2-2,0.0181,80,2185.54,54.64,62.3,2477.37,13.35279214,2591.387,44.914,2485,2678,21.83
,11,PH057,VFA,11/02/2020,PRISMA,VFA,T1,T2a,S3,S3_T2a,MnCl2-3,VFAT1MnCl2-3,0.0282,80,1901.28,47.53,54.31,2028.38,6.684989157,2127.762,53.002,2017,2236,21.83
,11,PH057,VFA,11/02/2020,PRISMA,VFA,T1,T2a,S4,S4_T2a,MnCl2-4,VFAT1MnCl2-4,0.0434,80,1549.98,38.75,37.95,1635.32,5.505986468,1704.763,36.755,1629,1786,21.83
,11,PH057,VFA,11/02/2020,PRISMA,VFA,T1,T2a,S5,S5_T2a,MnCl2-5,VFAT1MnCl2-5,0.0626,80,1510.76,37.77,34.81,1523.96,0.873530854,1587.662,54.751,1460,1705,21.83
,11,PH057,VFA,11/02/2020,PRISMA,VFA,T1,T2a,S6,S6_T2a,MnCl2-6,VFAT1MnCl2-6,0.0934,80,1026.43,25.66,30.13,1078.42,5.065487383,1133.562,16.888,1072,1164,21.83
,11,PH057,VFA,11/02/2020,PRISMA,VFA,T1,T2a,S7,S7_T2a,MnCl2-7,VFAT1MnCl2-7,0.1353,80,805.1,20.13,24.06,826.02,2.599028883,870.062,38.726,776,940,21.83
,11,PH057,VFA,11/02/2020,PRISMA,VFA,T1,T2a,S8,S8_T2a,MnCl2-8,VFAT1MnCl2-8,0.193,80,599.96,15,17.8,649.45,8.248480957,682.013,36.493,599,751,21.83
,12,PH058,VFA,12/02/2020,PRISMA,VFA,T1,T2a,S1,S1_T2a,MnCl2-1,VFAT1MnCl2-1,0.0108,80,3025.17,75.63,75.07,2470.11,-18.3479379,2548.938,47.944,2454,2680,21.05
,12,PH058,VFA,12/02/2020,PRISMA,VFA,T1,T2a,S2,S2_T2a,MnCl2-2,VFAT1MnCl2-2,0.0181,80,2185.54,54.64,62.3,2465.73,12.82020744,2531.15,59.06,2399,2648,21.05
,12,PH058,VFA,12/02/2020,PRISMA,VFA,T1,T2a,S3,S3_T2a,MnCl2-3,VFAT1MnCl2-3,0.0282,80,1901.28,47.53,54.31,2071.97,8.977412512,2128.988,46.109,2033,2208,21.05
,12,PH058,VFA,12/02/2020,PRISMA,VFA,T1,T2a,S4,S4_T2a,MnCl2-4,VFAT1MnCl2-4,0.0434,80,1549.98,38.75,37.95,1544.47,-0.355577177,1584.312,30.113,1513,1647,21.05
,12,PH058,VFA,12/02/2020,PRISMA,VFA,T1,T2a,S5,S5_T2a,MnCl2-5,VFAT1MnCl2-5,0.0626,80,1510.76,37.77,34.81,1475,-2.367157931,1511.55,49.149,1364,1631,21.05
,12,PH058,VFA,12/02/2020,PRISMA,VFA,T1,T2a,S6,S6_T2a,MnCl2-6,VFAT1MnCl2-6,0.0934,80,1026.43,25.66,30.13,1057.11,2.989318341,1088.75,14.401,1053,1134,21.05
