num,session,code,sequence,date,scanner,dictionary,map,array,sphere_num,sphere,sphere_name_sh,NIST_name,conc,mean,stdv,temp
,ref,ref,ref,ref,ref,ref,T2,T2a,3,S3,S3_T2a,MnCl2-3,0.0282,276.98,2.6,22
,ref,ref,ref,ref,ref,ref,T2,T2a,3,S3,S3_T2a,MnCl2-3,0.0282,287.48,2.7,24
,ref,ref,ref,ref,ref,ref,T2,T2a,3,S3,S3_T2a,MnCl2-3,0.0282,299.08,2.81,26
,ref,ref,ref,ref,ref,ref,T1,T2a,3,S3,S3_T2a,MnCl2-3,0.0282,1657.68,41.44,16
,ref,ref,ref,ref,ref,ref,T1,T2a,3,S3,S3_T2a,MnCl2-3,0.0282,1783.21,44.58,18
,ref,ref,ref,ref,ref,ref,T1,T2a,3,S3,S3_T2a,MnCl2-3,0.0282,1901.28,47.53,20
,ref,ref,ref,ref,ref,ref,T1,T2a,3,S3,S3_T2a,MnCl2-3,0.0282,2009.05,50.23,22
,ref,ref,ref,ref,ref,ref,T1,T2a,3,S3,S3_T2a,MnCl2-3,0.0282,2119.34,52.98,24
,ref,ref,ref,ref,ref,ref,T1,T2a,3,S3,S3_T2a,MnCl2-3,0.0282,2232.44,55.81,26
,ref,ref,ref,ref,ref,ref,T1,T1a,3,S3,S3_T1a,NiCl2-3,1.04,950.71,13.82,16
,ref,ref,ref,ref,ref,ref,T1,T1a,3,S3,S3_T1a,NiCl2-3,1.04,963.56,14.02,18
,ref,ref,ref,ref,ref,ref,T1,T1a,3,S3,S3_T1a,NiCl2-3,1.04,987.27,14.22,20
,ref,ref,ref,ref,ref,ref,T1,T1a,3,S3,S3_T1a,NiCl2-3,1.04,1000.81,13.82,22
,ref,ref,ref,ref,ref,ref,T1,T1a,3,S3,S3_T1a,NiCl2-3,1.04,1015.7,14.02,24
,ref,ref,ref,ref,ref,ref,T1,T1a,3,S3,S3_T1a,NiCl2-3,1.04,1030.78,14.22,26
,ref,ref,ref,ref,ref,ref,T2,T1a,3,S3,S3_T1a,NiCl2-3,1.04,731.7,9.09,16
,ref,ref,ref,ref,ref,ref,T2,T1a,3,S3,S3_T1a,NiCl2-3,1.04,735.31,9.19,18
,ref,ref,ref,ref,ref,ref,T2,T1a,3,S3,S3_T1a,NiCl2-3,1.04,736.97,9.32,20
,ref,ref,ref,ref,ref,ref,T2,T1a,3,S3,S3_T1a,NiCl2-3,1.04,744.39,9.09,22
,ref,ref,ref,ref,ref,ref,T2,T1a,3,S3,S3_T1a,NiCl2-3,1.04,755.94,9.19,24
,ref,ref,ref,ref,ref,ref,T2,T1a,3,S3,S3_T1a,NiCl2-3,1.04,768.69,9.32,26
,ref,ref,ref,ref,ref,ref,T2,T2a,4,S4,S4_T2a,MnCl2-4,0.0434,161.07,1.51,16
,ref,ref,ref,ref,ref,ref,T2,T2a,4,S4,S4_T2a,MnCl2-4,0.0434,169.02,1.59,18
,ref,ref,ref,ref,ref,ref,T2,T2a,4,S4,S4_T2a,MnCl2-4,0.0434,175.05,1.65,20
,ref,ref,ref,ref,ref,ref,T2,T2a,4,S4,S4_T2a,MnCl2-4,0.0434,181.48,1.71,22
,ref,ref,ref,ref,ref,ref,T2,T2a,4,S4,S4_T2a,MnCl2-4,0.0434,187.21,1.76,24
,ref,ref,ref,ref,ref,ref,T2,T2a,4,S4,S4_T2a,MnCl2-4,0.0434,192.23,1.81,26
