num,session,code,sequence,date,scanner,dictionary,map,array,sphere,sphere_name_sh,NIST_name,conc,area,mean,stdv,min,max,temp
35,1,PH038,MRF,29/01/2020,PRISMA,MRF 1500,T1,T1a,S1,S1_T1a,NiCl2-1,0.29,80,1916,52.714,1800,2000,20.62
36,1,PH038,MRF,29/01/2020,PRISMA,MRF 1500,T1,T1a,S2,S2_T1a,NiCl2-2,0.6,80,1300.5,35.432,1240,1400,20.62
37,1,PH038,MRF,29/01/2020,PRISMA,MRF 1500,T1,T1a,S3,S3_T1a,NiCl2-3,1.04,80,928.75,31.956,840,1000,20.62
38,1,PH038,MRF,29/01/2020,PRISMA,MRF 1500,T1,T1a,S4,S4_T1a,NiCl2-4,1.64,80,677.25,33.939,600,740,20.62
39,1,PH038,MRF,29/01/2020,PRISMA,MRF 1500,T1,T1a,S5,S5_T1a,NiCl2-5,2.52,80,490,31.502,420,580,20.62
40,1,PH038,MRF,29/01/2020,PRISMA,MRF 3000,T1,T2a,S1,S1_T2a,MnCl2-1,0.0108,80,2463.75,61.095,2350,2550,20.62
41,1,PH038,MRF,29/01/2020,PRISMA,MRF 3000,T1,T2a,S2,S2_T2a,MnCl2-2,0.0181,80,2172.5,52.711,2050,2250,20.62
42,1,PH038,MRF,29/01/2020,PRISMA,MRF 3000,T1,T2a,S3,S3_T2a,MnCl2-3,0.0282,80,1851,51.302,1720,1960,20.62
43,1,PH038,MRF,29/01/2020,PRISMA,MRF 3000,T1,T2a,S4,S4_T2a,MnCl2-4,0.0434,80,1494.5,49.807,1360,1600,20.62
44,1,PH038,MRF,29/01/2020,PRISMA,MRF 3000,T1,T2a,S5,S5_T2a,MnCl2-5,0.0626,80,1246,39.797,1120,1360,20.62
45,1,PH038,MRF,29/01/2020,PRISMA,MRF 3000,T1,T2a,S6,S6_T2a,MnCl2-6,0.0934,80,960,29.166,900,1040,20.62
46,1,PH038,MRF,29/01/2020,PRISMA,MRF 3000,T1,T2a,S7,S7_T2a,MnCl2-7,0.1353,80,704.75,22.331,660,760,20.62
47,1,PH038,MRF,29/01/2020,PRISMA,MRF 3000,T1,T2a,S8,S8_T2a,MnCl2-8,0.193,80,528.5,18.766,500,600,20.62
48,1,PH038,MRF,29/01/2020,PRISMA,MRF 3000,T2,T1a,S1,S1_T1a,NiCl2-1,0.29,80,1101.25,86.41,900,1300,20.62
