long_name,spheres,sequence,array,reference_value,mean,SD,CV,tc_RD_mean,tc_RD_SD
MESET2MnCl2-2,MnCl2-2,MESE,T2a,379.48,399.75033333333334,2.33096174221675,0.5831043898775361,5.3416039343,0.6143388518903522
MESET2MnCl2-3,MnCl2-3,MESE,T2a,267.29,278.20966666666664,1.4182103421963326,0.5097631434552355,4.085323632733333,0.5307423924151335
MESET2MnCl2-4,MnCl2-4,MESE,T2a,175.05,187.191,0.8128466369324608,0.4342338237054457,6.9357914495,0.46415258040695057
MESET2MnCl2-6,MnCl2-6,MESE,T2a,88.89,94.74333333333334,0.4923786973551924,0.5196974605304074,6.585408521133333,0.5538788461908695
MESET2MnCl2-7,MnCl2-7,MESE,T2a,63.42,65.312,0.44134121602850157,0.6757429201808268,2.983399310233333,0.697055954544818
MESET2MnCl2-8,MnCl2-8,MESE,T2a,44.24,47.763,0.4225550362032027,0.8846911546661699,7.9635511588,0.9550453149998199
MESET2NiCl2-5,NiCl2-5,MESE,T1a,354.38,377.432,15.733651263103724,4.168605540363224,6.5046560186,4.439700337366502
S1500T2MnCl2-2,MnCl2-2,MRF 1500,T2a,379.48,350.2663333333333,9.600747630131275,2.74098499240995,-7.698271759933333,2.5297502659121136
S1500T2MnCl2-3,MnCl2-3,MRF 1500,T2a,267.29,258.096,6.707279421746147,2.5987537279718196,-3.439897295133333,2.509197395052249
S1500T2MnCl2-4,MnCl2-4,MRF 1500,T2a,175.05,198.036,6.515954213340118,3.290287732200266,13.130794796566667,3.7220426806313154
S1500T2MnCl2-6,MnCl2-6,MRF 1500,T2a,88.89,100.775,2.164210057368228,2.1475664176315834,13.3706585067,2.435336878828766
S1500T2MnCl2-7,MnCl2-7,MRF 1500,T2a,63.42,66.59,1.3499578537482377,2.027268138982186,4.999066720166667,2.1287360661112333
S1500T2MnCl2-8,MnCl2-8,MRF 1500,T2a,44.24,44.662333333333336,1.0265566256895557,2.298484089552469,0.9547162974666666,2.3205249020654586
S1500T2NiCl2-5,NiCl2-5,MRF 1500,T1a,354.38,309.36133333333333,9.187599113547803,2.969860200223623,-12.704347498166667,2.5925412569552266
S3000T2MnCl2-2,MnCl2-2,MRF 3000,T2a,379.48,347.0486666666667,7.034786340079898,2.0270316574466687,-8.5464952644,1.8538785798721815
S3000T2MnCl2-3,MnCl2-3,MRF 3000,T2a,267.29,254.287,6.274178143734072,2.4673609518906083,-4.8648725705,2.3472320810058376
S3000T2MnCl2-4,MnCl2-4,MRF 3000,T2a,175.05,191.34566666666666,6.477044708886881,3.384996807986357,9.309378530366667,3.7002249374699905
S3000T2MnCl2-6,MnCl2-6,MRF 3000,T2a,88.89,96.54266666666666,1.5071597707982531,1.5611333546462218,8.608719120066667,1.6949730287246147
S3000T2MnCl2-7,MnCl2-7,MRF 3000,T2a,63.42,64.46933333333334,1.1175340258133415,1.733435058239589,1.6553794825666666,1.7613948353906963
S3000T2MnCl2-8,MnCl2-8,MRF 3000,T2a,44.24,43.40533333333333,1.0511036345549913,2.4216001901955013,-1.886937825,2.375728357164366
S3000T2NiCl2-5,NiCl2-5,MRF 3000,T1a,354.38,300.38166666666666,7.237137023633765,2.4093138252890816,-15.238115393333333,2.042457579260668
