long_name,spheres,sequence,array,reference_value,mean,SD,CV,tc_RD_mean,tc_RD_SD
S1500T1MnCl2-2,MnCl2-2,MRF 1500,T2a,2185.54,2149.6016666666665,12.855035262853042,0.5980194127215682,-1.6443415056333333,0.5882010471492415
S1500T1MnCl2-3,MnCl2-3,MRF 1500,T2a,1901.28,1841.4976666666666,15.096813475910613,0.8198117081102617,-3.1443112393333332,0.7940618373312921
S1500T1MnCl2-4,MnCl2-4,MRF 1500,T2a,1549.98,1499.015,13.133560000086133,0.8761460025474149,-3.288046307,0.8473846251801819
S1500T1MnCl2-6,MnCl2-6,MRF 1500,T2a,1026.43,953.7996666666667,13.484881057185369,1.4138064342496837,-7.0760530146,1.3137679003545812
S1500T1MnCl2-7,MnCl2-7,MRF 1500,T2a,805.1,691.5953333333333,7.486371402863281,1.0824785885671988,-14.098169007333333,0.9299276488084132
S1500T1MnCl2-8,MnCl2-8,MRF 1500,T2a,599.96,526.285,4.411266727135317,0.8381897122538771,-12.279894943666667,0.7353302128749891
S1500T1NiCl2-1,NiCl2-1,MRF 1500,T1a,1883.97,1892.0756666666666,15.622160141006892,0.825662547023237,0.43021017683333335,0.8291619944504043
S1500T1NiCl2-2,NiCl2-2,MRF 1500,T1a,1330.16,1292.7053333333333,12.028216748999787,0.930468563781985,-2.8158114350333334,0.9042649359320051
S1500T1NiCl2-3,NiCl2-3,MRF 1500,T1a,987.27,924.95,9.114593451882724,0.9854147199181278,-6.312398499,0.9232205472616142
S1500T1NiCl2-4,NiCl2-4,MRF 1500,T1a,690.08,671.697,8.88048272608396,1.322096529548883,-2.663773062266667,1.2869384988956185
S1500T1NiCl2-5,NiCl2-5,MRF 1500,T1a,484.97,483.81733333333335,6.837891353401249,1.4133208718031147,-0.23765673733333334,1.4100085052766325
S3000T1MnCl2-2,MnCl2-2,MRF 3000,T2a,2185.54,2117.256,14.666732847290604,0.6927236407543823,-3.124368629,0.6710757902767943
S3000T1MnCl2-3,MnCl2-3,MRF 3000,T2a,1901.28,1814.9063333333334,13.857245455327543,0.7635240012566789,-4.542919530833333,0.728864392440831
S3000T1MnCl2-4,MnCl2-4,MRF 3000,T2a,1549.98,1470.8773333333334,13.983851754257739,0.9507150213925208,-5.103522204833333,0.9022190041586245
S3000T1MnCl2-6,MnCl2-6,MRF 3000,T2a,1026.43,942.6983333333334,11.9424961531422,1.2668417595387211,-8.157478313866667,1.1635113860496742
S3000T1MnCl2-7,MnCl2-7,MRF 3000,T2a,805.1,688.3903333333333,5.046767134091598,0.7331257993781046,-14.496275690666668,0.6269565260213894
S3000T1MnCl2-8,MnCl2-8,MRF 3000,T2a,599.96,521.4453333333333,5.352830854876654,1.0265373017452748,-13.086629871,0.892284534449466
S3000T1NiCl2-1,NiCl2-1,MRF 3000,T1a,1883.97,1851.155,12.813787765393656,0.6922050160788079,-1.7417930092666667,0.6801400638034582
S3000T1NiCl2-2,NiCl2-2,MRF 3000,T1a,1330.16,1293.5753333333332,10.826724831393493,0.8369612926596848,-2.750191859966667,0.8139371539168767
S3000T1NiCl2-3,NiCl2-3,MRF 3000,T1a,987.27,921.196,8.047573461652272,0.8736005650971425,-6.692648442099999,0.8151524172207211
S3000T1NiCl2-4,NiCl2-4,MRF 3000,T1a,690.08,666.795,8.751596012078055,1.3124867481126967,-3.3742912485666667,1.2682876900233333
S3000T1NiCl2-5,NiCl2-5,MRF 3000,T1a,484.97,480.4046666666667,5.409377383596097,1.1260043373703206,-0.9413560121666666,1.1154519951929
VFAT1MnCl2-2,MnCl2-2,VFA,T2a,2185.54,2474.094,44.989140957990436,1.8184087168066547,13.202855985666666,2.0584864246113224
VFAT1MnCl2-3,MnCl2-3,VFA,T2a,1901.28,2064.815666666667,35.626748057133085,1.7254202703066028,8.6013417245,1.873814934786764
VFAT1MnCl2-4,MnCl2-4,VFA,T2a,1549.98,1572.2393333333334,36.179053087371585,2.301116141819688,1.4360670507666666,2.3342184064350766
VFAT1MnCl2-6,MnCl2-6,VFA,T2a,1026.43,1076.5986666666668,17.657169245015627,1.6400883441259717,4.887645450433333,1.72027251528131
VFAT1MnCl2-7,MnCl2-7,VFA,T2a,805.1,826.1173333333334,9.207483063672521,1.114549070955924,2.6106560681,1.1437592870046407
VFAT1MnCl2-8,MnCl2-8,VFA,T2a,599.96,660.128,7.293227089520139,1.1048201393548127,10.0285977628,1.215634784004907
VFAT1NiCl2-1,NiCl2-1,VFA,T1a,1883.97,1859.8693333333333,22.200391412102952,1.1936532859711446,-1.2791958224333333,1.1783837439421496
VFAT1NiCl2-2,NiCl2-2,VFA,T1a,1330.16,1502.6773333333333,23.293715880902923,1.5501475509204186,12.9696779196,1.7511677982482199
VFAT1NiCl2-3,NiCl2-3,VFA,T1a,987.27,1082.4606666666666,13.274649403340531,1.2263401167470163,9.641844805066667,1.3445817306448415
VFAT1NiCl2-4,NiCl2-4,VFA,T1a,690.08,718.5893333333333,13.78462360081304,1.9182894820982184,4.1312251350333336,1.9976332359243987
VFAT1NiCl2-5,NiCl2-5,VFA,T1a,484.97,539.532,8.855289632912003,1.641290902654894,11.250576917266667,1.8260390801236284
